id,week,dates,term,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
y11_001,M1A,24–28 Aug 2026,Michaelmas,,0,Induction,,"Routines, expectations and Year 11 diagnostic",flex,Set up Year 11 routines and run initial diagnostic.,"INSET Mon, Family Orientation Tue, Welcome Day Wed. Year 11 induction and diagnostic only."
y11_002,M1A,24–28 Aug 2026,Michaelmas,,0,Induction,,"Diagnostic review, book/folder setup and exam-paper expectations",flex,"Baseline review, folder setup and exam-paper expectations. Identify gaps from Year 10.",
y11_003,M2B,31 Aug–4 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,"Surds 1 — simplifying, expanding and operating with surds",core,Simplify surds; expand brackets involving surds; add and subtract surds.,
y11_004,M2B,31 Aug–4 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,Surds 2 — rationalising denominators,core,Rationalise denominators of the form a/√b and a/(c+√b).,
y11_005,M2B,31 Aug–4 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,Fractional and negative indices,core,Evaluate and simplify expressions with fractional and negative indices.,
y11_006,M3A,7–11 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,Algebraic proof 1 — integer and parity proofs,core,"Construct algebraic proofs involving integers, consecutive numbers and parity.",
y11_007,M3A,7–11 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,Unit 1 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 1.",
y11_008,M3A,7–11 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,Unit 1 full end-of-unit assessment,assessment,Advanced number and algebra assessment.,
y11_009,M4B,14–18 Sep 2026,Michaelmas,,1,Unit 1 — Advanced Number and Algebra,,"Unit 1 reflection, correction and reteach",flex,Correct misconceptions from Unit 1; bridge into Unit 2A.,
y11_010,M4B,14–18 Sep 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Quadratic formula and discriminant,core,Use the quadratic formula; interpret the discriminant.,
y11_011,M4B,14–18 Sep 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Problems leading to quadratic equations,core,Set up and solve quadratic equations from geometric and worded contexts.,
y11_012,M5A,21–25 Sep 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Quadratic simultaneous equations 1,core,Solve simultaneous equations where one is linear and one is quadratic.,
y11_013,M5A,21–25 Sep 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Quadratic simultaneous equations 2 and graph interpretation,core,Extend to harder cases; interpret solutions graphically.,
y11_014,M5A,21–25 Sep 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Quadratic inequalities,core,Solve quadratic inequalities; represent solutions on number lines and in set notation.,
y11_015,M6B,28 Sep–2 Oct 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Mixed quadratics consolidation and exam practice,flex,Mixed exam-style consolidation across Unit 2A content.,
y11_016,M6B,28 Sep–2 Oct 2026,Michaelmas,,2,Unit 2A — Advanced Quadratics and Equations,,Unit 2A checkpoint quiz + feedback/bridge,assessment,20–25 min checkpoint on Unit 2A content; remaining lesson for feedback and bridge into Unit 2B.,
y11_017,M6B,28 Sep–2 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,Function notation launch and retrieval from Unit 2A,core,Introduce function notation and retrieve key quadratic ideas.,
y11_018,M7A,5–9 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,"Functions 1 — notation, domain and range",core,Use function notation f(x); state domain and range.,
y11_019,M7A,5–9 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,Functions 2 — composite and inverse functions,core,Find composite functions fg(x) and inverse functions f⁻¹(x).,
y11_020,M7A,5–9 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,Differentiation 1 — gradient function and stationary points,core,Differentiate polynomials; find gradient at a point and stationary points.,
y11_021,M8B,12–16 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,"Differentiation 2 — maxima, minima and graph interpretation",core,Classify stationary points; use calculus to analyse curve behaviour.,National holiday Tue 13 Oct. Final week before Michaelmas half-term.
y11_022,M8B,12–16 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,Unit 2B revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 2B.",
y11_023,M8B,12–16 Oct 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,Unit 2B full end-of-unit assessment,assessment,Functions and calculus assessment.,
y11_024,M10B,2–6 Nov 2026,Michaelmas,,3,Unit 2B — Functions and Calculus,,"Unit 2B reflection, correction and reteach",flex,Correct misconceptions from Unit 2B assessment; bridge into Unit 3.,IR1 evidence window opens.
y11_025,M10B,2–6 Nov 2026,Michaelmas,,4,Unit 3 — Advanced Statistics Completion,,Histograms 2 — interpretation and exam-style problems,core,Interpret histograms; solve exam-style problems involving frequency density.,
y11_026,M10B,2–6 Nov 2026,Michaelmas,,4,Unit 3 — Advanced Statistics Completion,,Cumulative frequency diagrams and median estimates,core,Construct and interpret cumulative frequency diagrams; estimate the median.,
y11_027,M11A,9–13 Nov 2026,Michaelmas,,4,Unit 3 — Advanced Statistics Completion,,"Box plots, quartiles and IQR from grouped data",core,Draw and interpret box plots; find quartiles and IQR from grouped data.,Year 11 mock report marking and IR1 checking window.
y11_028,M11A,9–13 Nov 2026,Michaelmas,,4,Unit 3 — Advanced Statistics Completion,,Unit 3 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 3.",
y11_029,M11A,9–13 Nov 2026,Michaelmas,,4,Unit 3 — Advanced Statistics Completion,,Unit 3 full end-of-unit assessment,assessment,Advanced statistics assessment.,
y11_030,M12B,16–20 Nov 2026,Michaelmas,,4,Unit 3 — Advanced Statistics Completion,,"Unit 3 reflection, correction and reteach",flex,Correct misconceptions from Unit 3 assessment; bridge into Unit 4.,IR1 checking and publication window.
y11_031,M12B,16–20 Nov 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Estimating gradients of curves,core,Estimate the gradient of a curve at a point using tangents.,
y11_032,M12B,16–20 Nov 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Using graphs to solve equations,core,Use graphical methods to solve equations and inequalities.,
y11_033,M13A,23–27 Nov 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Trigonometric graphs 1,core,"Sketch and interpret sine, cosine and tangent graphs.",IR1 publication week.
y11_034,M13A,23–27 Nov 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Graph transformations 1 — translations and stretches,core,Apply and describe translations f(x)+a and f(x+a); stretches f(ax).,
y11_035,M13A,23–27 Nov 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Graph transformations 2 — mixed transformations,core,Apply reflections f(-x) and -f(x); combine transformations.,
y11_036,M14B,30 Nov–4 Dec 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Unit 4 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 4.",IR1 published Thu 3 Dec.
y11_037,M14B,30 Nov–4 Dec 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,Unit 4 full end-of-unit assessment,assessment,Advanced graphs assessment.,
y11_038,M14B,30 Nov–4 Dec 2026,Michaelmas,,5,Unit 4 — Advanced Graphs,,"Unit 4 reflection, correction and reteach",flex,Correct misconceptions from Unit 4; bridge into Unit 5.,
y11_039,M15A,7–11 Dec 2026,Michaelmas,,6,Unit 5 — Transformations,,Enlargement and combined transformations,core,Enlargement with negative/fractional scale factors; combined and inverse transformations.,School closed Mon 7 Dec and Thu 10 Dec. Year 11 PTC Wed 9 Dec.
y11_040,M15A,7–11 Dec 2026,Michaelmas,,6,Unit 5 — Transformations,,Unit 5 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 5.",
y11_041,M15A,7–11 Dec 2026,Michaelmas,,6,Unit 5 — Transformations,,Unit 5 full end-of-unit assessment,assessment,Transformations assessment.,
y11_042,M16B,14–18 Dec 2026,Michaelmas,,6,Unit 5 — Transformations,,"Unit 5 reflection, correction and reteach",flex,Correct misconceptions from Unit 5; set prep task for holiday.,Last teaching day Tue 16 Dec. No new unit start.
y11_043,M16B,14–18 Dec 2026,Michaelmas,,0,Retrieval,,"Michaelmas mixed retrieval: algebra, graphs and transformations",flex,Retrieval across Michaelmas units 1–5.,
y11_044,M16B,14–18 Dec 2026,Michaelmas,,0,Retrieval,,End-of-term consolidation and prep task setting,flex,Consolidate key ideas and set holiday preparation task.,
y11_045,L1A,7–8 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Similarity — area and volume scale factors,core,Use area and volume scale factors for similar shapes.,INSET Wed 6 Jan. Term starts Thu 7 Jan — partial teaching week.
y11_046,L1A,7–8 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Sectors — area and arc length,core,Calculate arc length and sector area in exact and decimal form.,
